20171026

#2 Sample
Pos : 0.00 -98.80         | Predict  : 278.5495910644531   |  Target 299.297607421875
Pos : 37.81 -91.28        | Predict  : 278.2891845703125   |  Target 298.7312927246094
Pos : 69.86 -69.86        | Predict  : 277.9016418457031   |  Target 298.1583251953125
Pos : 91.28 -37.81        | Predict  : 278.16400146484375  |  Target 296.8955383300781
Pos : 98.80 0.00          | Predict  : 278.5968933105469   |  Target 296.50103759765625
Pos : 91.28 37.81         | Predict  : 279.4982604980469   |  Target 296.22418212890625
Pos : 69.86 69.86         | Predict  : 280.4930419921875   |  Target 296.2203674316406
Pos : 37.81 91.28         | Predict  : 281.0650939941406   |  Target 296.6725158691406
Pos : 0.00 0.00           | Predict  : 296.0296630859375   |  Target 309.224853515625
Pos : 0.00 49.40          | Predict  : 294.716064453125    |  Target 307.0984802246094
Pos : -34.93 34.93        | Predict  : 295.650390625       |  Target 308.1975402832031
Pos : -49.40 0.00         | Predict  : 295.64727783203125  |  Target 309.18890380859375
Pos : -34.93 -34.93       | Predict  : 294.10675048828125  |  Target 309.2918395996094
Pos : 0.00 -49.40         | Predict  : 292.55615234375     |  Target 308.55908203125
Pos : 34.93 -34.93        | Predict  : 292.015625          |  Target 307.4739990234375
Pos : 49.40 0.00          | Predict  : 291.7823181152344   |  Target 306.08831787109375
Pos : 34.93 34.93         | Predict  : 293.6038818359375   |  Target 306.15283203125
Pos : 0.00 98.80          | Predict  : 282.0423583984375   |  Target 297.2350769042969
Pos : -37.81 91.28        | Predict  : 282.5609436035156   |  Target 297.9588928222656
Pos : -69.86 69.86        | Predict  : 283.13037109375     |  Target 298.9847106933594
Pos : -91.28 37.81        | Predict  : 283.41815185546875  |  Target 299.77923583984375
Pos : -98.80 0.00         | Predict  : 282.8554382324219   |  Target 300.4298095703125
Pos : -91.28 -37.81       | Predict  : 281.73382568359375  |  Target 300.2670593261719
Pos : -69.86 -69.86       | Predict  : 280.7769775390625   |  Target 299.5597229003906
Pos : -37.81 -91.28       | Predict  : 279.47503662109375  |  Target 299.34783935546875
Pos : 0.00 -98.80         | Predict  : 278.3949890136719   |  Target 299.297607421875
Pos : 37.81 -91.28        | Predict  : 278.3335876464844   |  Target 298.7312927246094
Pos : 69.86 -69.86        | Predict  : 278.03948974609375  |  Target 298.1583251953125
Pos : 91.28 -37.81        | Predict  : 278.5855407714844   |  Target 296.8955383300781
Pos : 98.80 0.00          | Predict  : 279.2709045410156   |  Target 296.50103759765625
Pos : 91.28 37.81         | Predict  : 279.6310729980469   |  Target 296.22418212890625
Pos : 69.86 69.86         | Predict  : 280.3378601074219   |  Target 296.2203674316406
Pos : 37.81 91.28         | Predict  : 281.18292236328125  |  Target 296.6725158691406
Pos : 0.00 0.00           | Predict  : 295.6025390625      |  Target 309.224853515625
Pos : 0.00 49.40          | Predict  : 294.16583251953125  |  Target 307.0984802246094
Pos : -34.93 34.93        | Predict  : 295.6579284667969   |  Target 308.1975402832031
Pos : -49.40 0.00         | Predict  : 295.55841064453125  |  Target 309.18890380859375
Pos : -34.93 -34.93       | Predict  : 293.84820556640625  |  Target 309.2918395996094
Pos : 0.00 -49.40         | Predict  : 292.7878723144531   |  Target 308.55908203125
Pos : 34.93 -34.93        | Predict  : 291.6799621582031   |  Target 307.4739990234375
Pos : 49.40 0.00          | Predict  : 291.3653869628906   |  Target 306.08831787109375
Pos : 34.93 34.93         | Predict  : 292.75811767578125  |  Target 306.15283203125
Pos : 0.00 98.80          | Predict  : 282.0260925292969   |  Target 297.2350769042969
Pos : -37.81 91.28        | Predict  : 282.5387878417969   |  Target 297.9588928222656
Pos : -69.86 69.86        | Predict  : 282.4165954589844   |  Target 298.9847106933594
Pos : -91.28 37.81        | Predict  : 282.9019775390625   |  Target 299.77923583984375
Pos : -98.80 0.00         | Predict  : 282.80303955078125  |  Target 300.4298095703125
Pos : -91.28 -37.81       | Predict  : 281.9769592285156   |  Target 300.2670593261719
Pos : -69.86 -69.86       | Predict  : 281.1135559082031   |  Target 299.5597229003906
Pos : -37.81 -91.28       | Predict  : 279.3712158203125   |  Target 299.34783935546875
Pos : 0.00 -98.80         | Predict  : 278.7948913574219   |  Target 299.297607421875
Pos : 37.81 -91.28        | Predict  : 277.8270263671875   |  Target 298.7312927246094
Pos : 69.86 -69.86        | Predict  : 277.7983703613281   |  Target 298.1583251953125
Pos : 91.28 -37.81        | Predict  : 277.5141906738281   |  Target 296.8955383300781
Pos : 98.80 0.00          | Predict  : 278.7628479003906   |  Target 296.50103759765625
Pos : 91.28 37.81         | Predict  : 279.25726318359375  |  Target 296.22418212890625
Pos : 69.86 69.86         | Predict  : 280.4377746582031   |  Target 296.2203674316406
Pos : 37.81 91.28         | Predict  : 281.3804931640625   |  Target 296.6725158691406
Pos : 0.00 0.00           | Predict  : 295.6854248046875   |  Target 309.224853515625
Pos : 0.00 49.40          | Predict  : 294.2688903808594   |  Target 307.0984802246094
Pos : -34.93 34.93        | Predict  : 295.4998779296875   |  Target 308.1975402832031
Pos : -49.40 0.00         | Predict  : 295.3113708496094   |  Target 309.18890380859375
Pos : -34.93 -34.93       | Predict  : 293.83154296875     |  Target 309.2918395996094
Pos : 0.00 -49.40         | Predict  : 292.6365661621094   |  Target 308.55908203125
Pos : 34.93 -34.93        | Predict  : 291.4697265625      |  Target 307.4739990234375
Pos : 49.40 0.00          | Predict  : 290.78668212890625  |  Target 306.08831787109375
Pos : 34.93 34.93         | Predict  : 293.1798095703125   |  Target 306.15283203125
Pos : 0.00 98.80          | Predict  : 282.03094482421875  |  Target 297.2350769042969
Pos : -37.81 91.28        | Predict  : 282.16741943359375  |  Target 297.9588928222656
Pos : -69.86 69.86        | Predict  : 282.62091064453125  |  Target 298.9847106933594
Pos : -91.28 37.81        | Predict  : 283.03741455078125  |  Target 299.77923583984375
Pos : -98.80 0.00         | Predict  : 282.6802062988281   |  Target 300.4298095703125
Pos : -91.28 -37.81       | Predict  : 281.8289489746094   |  Target 300.2670593261719
Pos : -69.86 -69.86       | Predict  : 281.0640563964844   |  Target 299.5597229003906
Pos : -37.81 -91.28       | Predict  : 279.20068359375     |  Target 299.34783935546875
Pos : 0.00 -98.80         | Predict  : 278.3984069824219   |  Target 299.297607421875
Pos : 37.81 -91.28        | Predict  : 277.7528991699219   |  Target 298.7312927246094
Pos : 69.86 -69.86        | Predict  : 277.7152404785156   |  Target 298.1583251953125
Pos : 91.28 -37.81        | Predict  : 277.9051513671875   |  Target 296.8955383300781
Pos : 98.80 0.00          | Predict  : 278.65631103515625  |  Target 296.50103759765625
Pos : 91.28 37.81         | Predict  : 279.333251953125    |  Target 296.22418212890625
Pos : 69.86 69.86         | Predict  : 280.28582763671875  |  Target 296.2203674316406
Pos : 37.81 91.28         | Predict  : 281.0250549316406   |  Target 296.6725158691406
