2017-10-30 17:02:25.071190: W C:\tf_jenkins\home\workspace\rel-win\M\windows\PY\35\tensorflow\core\platform\cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use AVX instructions, but these are available on your machine and could speed up CPU computations.
2017-10-30 17:02:25.071306: W C:\tf_jenkins\home\workspace\rel-win\M\windows\PY\35\tensorflow\core\platform\cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use AVX2 instructions, but these are available on your machine and could speed up CPU computations.
Current Best Correlation : 0.955154823486839
(300,)
(300,)
#2 Sample
Pos : -34.93 -34.93       | Predict  : 310.9992370605469   |  Target 309.2918395996094
Pos : 0.00 -49.40         | Predict  : 305.1792907714844   |  Target 308.55908203125
Pos : 34.93 -34.93        | Predict  : 298.8636474609375   |  Target 307.4739990234375
Pos : 49.40 0.00          | Predict  : 299.1057434082031   |  Target 306.08831787109375
Pos : 34.93 34.93         | Predict  : 313.09423828125     |  Target 306.15283203125
Pos : 0.00 98.80          | Predict  : 295.93426513671875  |  Target 297.2350769042969
Pos : -37.81 91.28        | Predict  : 297.2513427734375   |  Target 297.9588928222656
Pos : -69.86 69.86        | Predict  : 297.6827697753906   |  Target 298.9847106933594
Pos : -91.28 37.81        | Predict  : 301.29986572265625  |  Target 299.77923583984375
Pos : -98.80 0.00         | Predict  : 302.1728820800781   |  Target 300.4298095703125
Pos : -91.28 -37.81       | Predict  : 300.95452880859375  |  Target 300.2670593261719
Pos : -69.86 -69.86       | Predict  : 301.249267578125    |  Target 299.5597229003906
Pos : -37.81 -91.28       | Predict  : 299.79693603515625  |  Target 299.34783935546875
Pos : 0.00 -98.80         | Predict  : 295.528564453125    |  Target 299.297607421875
Pos : 37.81 -91.28        | Predict  : 287.6145324707031   |  Target 298.7312927246094
Pos : 69.86 -69.86        | Predict  : 293.2865295410156   |  Target 298.1583251953125
Pos : 91.28 -37.81        | Predict  : 294.6156311035156   |  Target 296.8955383300781
Pos : 98.80 0.00          | Predict  : 294.7159118652344   |  Target 296.50103759765625
Pos : 91.28 37.81         | Predict  : 291.0684814453125   |  Target 296.22418212890625
Pos : 69.86 69.86         | Predict  : 301.2204284667969   |  Target 296.2203674316406
Pos : 37.81 91.28         | Predict  : 295.60858154296875  |  Target 296.6725158691406
