"Pos : 37.81 -91.28        | Predict  : 286.0822448730469   |  Target 289.5638427734375 "
"Pos : 69.86 -69.86        | Predict  : 292.94476318359375  |  Target 289.4169616699219 "
"Pos : 91.28 -37.81        | Predict  : 288.4057922363281   |  Target 289.2865295410156 "
"Pos : 98.80 0.00          | Predict  : 290.43572998046875  |  Target 295.30126953125   "
"Pos : 91.28 37.81         | Predict  : 292.2750244140625   |  Target 289.5456237792969 "
"Pos : 69.86 69.86         | Predict  : 291.58551025390625  |  Target 289.62384033203125"
"Pos : 37.81 91.28         | Predict  : 287.3299255371094   |  Target 288.81500244140625"
"Pos : 0.00 0.00           | Predict  : 294.6622009277344   |  Target 302.45001220703125"
"Pos : 0.00 49.40          | Predict  : 296.8908386230469   |  Target 296.9770202636719 "
"Pos : -34.93 34.93        | Predict  : 294.3577575683594   |  Target 295.96990966796875"
"Pos : -49.40 0.00         | Predict  : 298.4781494140625   |  Target 296.5458984375    "
"Pos : -34.93 -34.93       | Predict  : 298.5926513671875   |  Target 296.2831115722656 "
"Pos : 0.00 -49.40         | Predict  : 296.2729797363281   |  Target 296.7130432128906 "
"Pos : 34.93 -34.93        | Predict  : 295.7900695800781   |  Target 297.09185791015625"
"Pos : 49.40 0.00          | Predict  : 298.38616943359375  |  Target 297.1689453125    "
"Pos : 34.93 34.93         | Predict  : 298.63720703125     |  Target 297.154052734375  "
"Pos : 0.00 98.80          | Predict  : 290.7762451171875   |  Target 288.42547607421875"
"Pos : -37.81 91.28        | Predict  : 288.7391052246094   |  Target 287.83819580078125"
"Pos : -69.86 69.86        | Predict  : 287.79150390625     |  Target 287.3325500488281 "
"Pos : -91.28 37.81        | Predict  : 288.12939453125     |  Target 287.0548095703125 "
"Pos : -98.80 0.00         | Predict  : 289.4203186035156   |  Target 287.4278869628906 "
"Pos : -91.28 -37.81       | Predict  : 289.6930847167969   |  Target 287.5286560058594 "
"Pos : -69.86 -69.86       | Predict  : 287.81072998046875  |  Target 287.8258361816406 "
"Pos : -37.81 -91.28       | Predict  : 290.7555847167969   |  Target 288.39605712890625"
"Pos : 0.00 -98.80         | Predict  : 288.3436279296875   |  Target 289.1251220703125 "
"Pos : 37.81 -91.28        | Predict  : 290.793701171875    |  Target 289.5638427734375 "
